,0
0,"ul. Skotnicka, Kraków, Poland"
1,"ul. Laskowa, Kraków, Poland"
2,"ul. Krzyża Św., Kraków, Poland"
3,"ul. Chłopska, Kraków, Poland"
4,"ul. Solarzy, Kraków, Poland"
5,"ul. Gontyna, Kraków, Poland"
6,"ul. Bugaj, Kraków, Poland"
7,"ul. Wodociągowa, Kraków, Poland"
8,"ul. Wszystkich Świętych pl, Kraków, Poland"
9,"ul. Straszewskiego, Kraków, Poland"
10,"ul. Robotnicza, Kraków, Poland"
11,"ul. Stolarska, Kraków, Poland"
12,"ul. Grota Roweckiego Stefana, Kraków, Poland"
13,"ul. Darasza Wojciecha, Kraków, Poland"
14,"ul. Wrońskiego Bohdana Komandora, Kraków, Poland"
15,"ul. Zaścianek, Kraków, Poland"
16,"ul. Muzyków, Kraków, Poland"
17,"ul. Morawiańskiego Pawła, Kraków, Poland"
18,"ul. Gołębia, Kraków, Poland"
19,"ul. Radzikowskiego, Kraków, Poland"
20,"ul. Jana Św., Kraków, Poland"
21,"ul. Sławka Walerego, Kraków, Poland"
22,"ul. Dominikański Plac, Kraków, Poland"
23,"ul. Szeroka, Kraków, Poland"
24,"ul. Heltmana, Kraków, Poland"
25,"ul. Księcia Józefa, Kraków, Poland"
26,"ul. Bunscha Karola, Kraków, Poland"
27,"ul. Łazy, Kraków, Poland"
28,"ul. Sacharowa, Kraków, Poland"
29,"ul. Klonowica Sebastiana, Kraków, Poland"
30,"ul. Prokocimska, Kraków, Poland"
31,"ul. Orla, Kraków, Poland"
32,"ul. Anczyca Władysława, Kraków, Poland"
33,"ul. Zakopiańska, Kraków, Poland"
34,"ul. Czerwone Maki, Kraków, Poland"
35,"ul. Smolarzy, Kraków, Poland"
36,"ul. Mikołajska, Kraków, Poland"
37,"ul. Sienna, Kraków, Poland"
38,"ul. Rzepichy, Kraków, Poland"
39,"ul. Mieczników, Kraków, Poland"
40,"ul. Wadowicka, Kraków, Poland"
41,"ul. Bronisławy Św., Kraków, Poland"
42,"ul. Na Błonie, Kraków, Poland"
43,"ul. Waszyngtona Jerzego Al., Kraków, Poland"
44,"ul. Tomasza św, Kraków, Poland"
45,"ul. Pańska, Kraków, Poland"
46,"ul. Pijarska, Kraków, Poland"
47,"ul. Turowicza Jerzego, Kraków, Poland"
48,"ul. Marka Św., Kraków, Poland"
49,"ul. Nad Potokiem, Kraków, Poland"
50,"ul. Monte Cassino, Kraków, Poland"
51,"ul. Babińskiego Józefa, Kraków, Poland"
52,"ul. Wielicka, Kraków, Poland"
53,"ul. Bobrzyńskiego Michała Prof., Kraków, Poland"
54,"ul. Pasternik, Kraków, Poland"
55,"ul. Mały Rynek, Kraków, Poland"
56,"ul. Jasnogórska, Kraków, Poland"
57,"ul. Chełmska, Kraków, Poland"
58,"ul. Kanonicza, Kraków, Poland"
59,"ul. Poselska, Kraków, Poland"
60,"ul. Nowosądecka, Kraków, Poland"
61,"ul. Leśna, Kraków, Poland"
62,"ul. Działkowa, Kraków, Poland"
63,"ul. Na Wrzosach, Kraków, Poland"
64,"ul. Malczewskiego Jacka, Kraków, Poland"
65,"ul. Herberta Zbigniewa, Kraków, Poland"
66,"ul. Kapelanka, Kraków, Poland"
67,"ul. Jerozolimska, Kraków, Poland"
68,"ul. Tischnera Józefa Ks., Kraków, Poland"
69,"ul. Zakliki z Mydlnik, Kraków, Poland"
70,"ul. Uśmiech, Kraków, Poland"
71,"ul. Bracka, Kraków, Poland"
72,"ul. Snycerska, Kraków, Poland"
73,"ul. Beskidzka, Kraków, Poland"
74,"ul. Szczepańska, Kraków, Poland"
75,"ul. Jodłowa, Kraków, Poland"
76,"ul. Gipsowa, Kraków, Poland"
77,"ul. Karpacka, Kraków, Poland"
78,"ul. Ducha Św. Plac, Kraków, Poland"
79,"ul. Olszanicka, Kraków, Poland"
80,"ul. Wojnicka, Kraków, Poland"
81,"ul. Conrada Josepha, Kraków, Poland"
82,"ul. Rondo Ofiar Katynia, Kraków, Poland"
83,"ul. Most Zwierzyniecki z łącznicami, Kraków, Poland"
84,"ul. Senacka, Kraków, Poland"
85,"ul. Kąpielowa, Kraków, Poland"
86,"ul. Kobierzyńska, Kraków, Poland"
87,"ul. Legionów, Kraków, Poland"
88,"ul. Gersona Wojciecha, Kraków, Poland"
89,"ul. Wiślna, Kraków, Poland"
90,"ul. Szpitalna, Kraków, Poland"
91,"ul. Franciszkańska, Kraków, Poland"
92,"ul. Opolska, Kraków, Poland"
93,"ul. Kamedulska, Kraków, Poland"
94,"ul. Brożka Jana, Kraków, Poland"
95,"ul. Podzamcze, Kraków, Poland"
96,"ul. Łużycka, Kraków, Poland"
97,"ul. Książąt Czartoryskich Zaułek, Kraków, Poland"
98,"ul. Jagiellońska, Kraków, Poland"
99,"ul. Floriańska, Kraków, Poland"
100,"ul. Kolejowa, Kraków, Poland"
101,"ul. 28 Lipca 1943, Kraków, Poland"
102,"ul. Małkowskiego Andrzeja, Kraków, Poland"
103,"ul. Łuczników, Kraków, Poland"
104,"ul. Gierymskich Maksymiliana i Aleksandra, Kraków, Poland"
105,"ul. Westerplatte, Kraków, Poland"
106,"ul. Mirowska, Kraków, Poland"
107,"ul. Młodzieży, Kraków, Poland"
108,"ul. Zawiła, Kraków, Poland"
109,"ul. Starowolska, Kraków, Poland"
110,"ul. Reformacka, Kraków, Poland"
111,"ul. Dominikańska, Kraków, Poland"
112,"ul. Grodzka, Kraków, Poland"
113,"ul. Szczepański Plac, Kraków, Poland"
114,"ul. Anny Św., Kraków, Poland"
115,"ul. Sławkowska, Kraków, Poland"
116,"ul. Halszki Porucznika, Kraków, Poland"
117,"ul. Olszewskiego, Kraków, Poland"
118,"ul. Dunajewskiego Juliana, Kraków, Poland"
119,"ul. Podmiłów, Kraków, Poland"
120,"ul. Malborska, Kraków, Poland"
121,"ul. Witosa Wincentego, Kraków, Poland"
122,"ul. Jesionowa, Kraków, Poland"
123,"ul. Gertrudy Św., Kraków, Poland"
124,"ul. Górników, Kraków, Poland"
125,"ul. Podwale, Kraków, Poland"
126,"ul. Śnieżna, Kraków, Poland"
127,"ul. Mariacki Plac, Kraków, Poland"
128,"ul. Trybuny Ludów, Kraków, Poland"
129,"ul. Balickiego Stanisława, Kraków, Poland"
130,"ul. Rynek Główny, Kraków, Poland"
131,"ul. Kasy Oszczędności m. Krakowa, Kraków, Poland"
132,"ul. Podłużna, Kraków, Poland"
133,"ul. Szewska, Kraków, Poland"
134,"ul. Zielińskiego Bohdana Gen., Kraków, Poland"
135,"ul. Idziego Św., Kraków, Poland"
136,"ul. Dygasińskiego Adolfa Al., Kraków, Poland"
137,"ul. Basztowa, Kraków, Poland"
